x,y,z
0,0,6.96033e-005
0,0.0526316,0.116483
0,0.105263,0.25207
0,0.157895,0.399147
0,0.210526,0.544843
0,0.263158,0.674806
0,0.315789,0.778889
0,0.368421,0.854489
0,0.421053,0.905329
0,0.473684,0.937802
0,0.526316,0.958
0,0.578947,0.97049
0,0.631579,0.978281
0,0.684211,0.983228
0,0.736842,0.986438
0,0.789474,0.988565
0,0.842105,0.990001
0,0.894737,0.990983
0,0.947368,0.99166
0,1,0.992125
0.0526316,0,0.178113
0.0526316,0.0526316,0.333346
0.0526316,0.105263,0.490488
0.0526316,0.157895,0.633226
0.0526316,0.210526,0.74908
0.0526316,0.263158,0.833978
0.0526316,0.315789,0.891394
0.0526316,0.368421,0.928216
0.0526316,0.421053,0.951205
0.0526316,0.473684,0.965479
0.0526316,0.526316,0.974423
0.0526316,0.578947,0.98013
0.0526316,0.631579,0.983849
0.0526316,0.684211,0.986324
0.0526316,0.736842,0.988
0.0526316,0.789474,0.989149
0.0526316,0.842105,0.989941
0.0526316,0.894737,0.990485
0.0526316,0.947368,0.990852
0.0526316,1,0.99109
0.105263,0,0.374688
0.105263,0.0526316,0.544039
0.105263,0.105263,0.688641
0.105263,0.157895,0.797554
0.105263,0.210526,0.871368
0.105263,0.263158,0.917799
0.105263,0.315789,0.94582
0.105263,0.368421,0.962512
0.105263,0.421053,0.972532
0.105263,0.473684,0.978665
0.105263,0.526316,0.982511
0.105263,0.578947,0.984983
0.105263,0.631579,0.986602
0.105263,0.684211,0.987676
0.105263,0.736842,0.988391
0.105263,0.789474,0.988861
0.105263,0.842105,0.989158
0.105263,0.894737,0.989331
0.105263,0.947368,0.989413
0.105263,1,0.989425
0.157895,0,0.565477
0.157895,0.0526316,0.717407
0.157895,0.105263,0.825737
0.157895,0.157895,0.894635
0.157895,0.210526,0.935238
0.157895,0.263158,0.958262
0.157895,0.315789,0.971199
0.157895,0.368421,0.978529
0.157895,0.421053,0.982737
0.157895,0.473684,0.985169
0.157895,0.526316,0.98656
0.157895,0.578947,0.987325
0.157895,0.631579,0.987706
0.157895,0.684211,0.987848
0.157895,0.736842,0.987841
0.157895,0.789474,0.987739
0.157895,0.842105,0.987577
0.157895,0.894737,0.987374
0.157895,0.947368,0.987143
0.157895,1,0.986892
0.210526,0,0.724371
0.210526,0.0526316,0.838228
0.210526,0.105263,0.907219
0.210526,0.157895,0.945717
0.210526,0.210526,0.966359
0.210526,0.263158,0.977323
0.210526,0.315789,0.983164
0.210526,0.368421,0.986248
0.210526,0.421053,0.987783
0.210526,0.473684,0.988404
0.210526,0.526316,0.98846
0.210526,0.578947,0.988164
0.210526,0.631579,0.987654
0.210526,0.684211,0.987027
0.210526,0.736842,0.986347
0.210526,0.789474,0.985656
0.210526,0.842105,0.984979
0.210526,0.894737,0.984327
0.210526,0.947368,0.983703
0.210526,1,0.983105
0.263158,0,0.837733
0.263158,0.0526316,0.911492
0.263158,0.105263,0.950903
0.263158,0.157895,0.971057
0.263158,0.210526,0.981264
0.263158,0.263158,0.986435
0.263158,0.315789,0.988987
0.263158,0.368421,0.990079
0.263158,0.421053,0.990276
0.263158,0.473684,0.989872
0.263158,0.526316,0.989041
0.263158,0.578947,0.98791
0.263158,0.631579,0.986587
0.263158,0.684211,0.985166
0.263158,0.736842,0.983723
0.263158,0.789474,0.982315
0.263158,0.842105,0.980976
0.263158,0.894737,0.979721
0.263158,0.947368,0.978553
0.263158,1,0.977464
0.315789,0,0.908578
0.315789,0.0526316,0.951826
0.315789,0.105263,0.9731
0.315789,0.157895,0.983456
0.315789,0.210526,0.988516
0.315789,0.263158,0.990926
0.315789,0.315789,0.991892
0.315789,0.368421,0.991958
0.315789,0.421053,0.991364
0.315789,0.473684,0.99023
0.315789,0.526316,0.988633
0.315789,0.578947,0.986662
0.315789,0.631579,0.98442
0.315789,0.684211,0.982027
0.315789,0.736842,0.979595
0.315789,0.789474,0.977216
0.315789,0.842105,0.974952
0.315789,0.894737,0.972835
0.315789,0.947368,0.970875
0.315789,1,0.969063
0.368421,0,0.948842
0.368421,0.0526316,0.972899
0.368421,0.105263,0.984229
0.368421,0.157895,0.989612
0.368421,0.210526,0.992144
0.368421,0.263158,0.993182
0.368421,0.315789,0.993307
0.368421,0.368421,0.992741
0.368421,0.421053,0.991548
0.368421,0.473684,0.989731
0.368421,0.526316,0.9873
0.368421,0.578947,0.984313
0.368421,0.631579,0.980884
0.368421,0.684211,0.977176
0.368421,0.736842,0.97336
0.368421,0.789474,0.969592
0.368421,0.842105,0.965982
0.368421,0.894737,0.962597
0.368421,0.947368,0.959462
0.368421,1,0.956571
0.421053,0,0.970519
0.421053,0.0526316,0.983741
0.421053,0.105263,0.989877
0.421053,0.157895,0.992744
0.421053,0.210526,0.993982
0.421053,0.263158,0.994273
0.421053,0.315789,0.993867
0.421053,0.368421,0.992803
0.421053,0.421053,0.991017
0.421053,0.473684,0.988414
0.421053,0.526316,0.984929
0.421053,0.578947,0.980586
0.421053,0.631579,0.975516
0.421053,0.684211,0.969943
0.421053,0.736842,0.964133
0.421053,0.789474,0.958336
0.421053,0.842105,0.952746
0.421053,0.894737,0.947484
0.421053,0.947368,0.942606
0.421053,1,0.938116
0.473684,0,0.981971
0.473684,0.0526316,0.989371
0.473684,0.105263,0.992804
0.473684,0.157895,0.99435
0.473684,0.210526,0.994869
0.473684,0.263158,0.994683
0.473684,0.315789,0.993851
0.473684,0.368421,0.992283
0.473684,0.421053,0.989795
0.473684,0.473684,0.986177
0.473684,0.526316,0.981268
0.473684,0.578947,0.97504
0.473684,0.631579,0.967643
0.473684,0.684211,0.959394
0.473684,0.736842,0.950694
0.473684,0.789474,0.941942
0.473684,0.842105,0.93346
0.473684,0.894737,0.925458
0.473684,0.947368,0.91804
0.473684,1,0.911227
0.526316,0,0.988054
0.526316,0.0526316,0.992345
0.526316,0.105263,0.994326
0.526316,0.157895,0.995126
0.526316,0.210526,0.995186
0.526316,0.263158,0.994624
0.526316,0.315789,0.993366
0.526316,0.368421,0.991199
0.526316,0.421053,0.987803
0.526316,0.473684,0.982816
0.526316,0.526316,0.97594
0.526316,0.578947,0.967069
0.526316,0.631579,0.956379
0.526316,0.684211,0.944316
0.526316,0.736842,0.931485
0.526316,0.789474,0.918508
0.526316,0.842105,0.9059
0.526316,0.894737,0.894006
0.526316,0.947368,0.883005
0.526316,1,0.872939
0.578947,0,0.991333
0.578947,0.0526316,0.993921
0.578947,0.105263,0.995072
0.578947,0.157895,0.995399
0.578947,0.210526,0.99511
0.578947,0.263158,0.994182
0.578947,0.315789,0.992428
0.578947,0.368421,0.989496
0.578947,0.421053,0.984891
0.578947,0.473684,0.978044
0.578947,0.526316,0.968463
0.578947,0.578947,0.955931
0.578947,0.631579,0.940657
0.578947,0.684211,0.923277
0.578947,0.736842,0.9047
0.578947,0.789474,0.885876
0.578947,0.842105,0.867598
0.578947,0.894737,0.850407
0.578947,0.947368,0.834582
0.578947,1,0.820195
0.631579,0,0.993108
0.631579,0.0526316,0.994713
0.631579,0.105263,0.995343
0.631579,0.157895,0.995324
0.631579,0.210526,0.994711
0.631579,0.263158,0.993375
0.631579,0.315789,0.991004
0.631579,0.368421,0.987077
0.631579,0.421053,0.980868
0.631579,0.473684,0.971529
0.631579,0.526316,0.958301
0.631579,0.578947,0.940816
0.631579,0.631579,0.919342
0.631579,0.684211,0.8948
0.631579,0.736842,0.868538
0.631579,0.789474,0.841975
0.631579,0.842105,0.816293
0.631579,0.894737,0.792288
0.631579,0.947368,0.770363
0.631579,1,0.750607
0.684211,0,0.994033
0.684211,0.0526316,0.995026
0.684211,0.105263,0.995287
0.684211,0.157895,0.994967
0.684211,0.210526,0.994013
0.684211,0.263158,0.992189
0.684211,0.315789,0.989039
0.684211,0.368421,0.98383
0.684211,0.421053,0.975536
